"""
Part,Quantity,Cost_USD,Link
ESP32-WROOM-DA Module,1,6,https://shopee.co.th
PCA9685 16-ch PWM Driver,1,3,https://shopee.co.th
MG90S Servo,8,16,https://shopee.co.th
SSH1106 1.3in OLED I2C,1,4,https://shopee.co.th
MAX98357A I2S Amp,1,3,https://shopee.co.th
Small Speaker 4ohm,1,1,https://shopee.co.th
Touch Sensor Module,1,1,https://shopee.co.th
LM2596 DC-DC Buck,1,2,https://shopee.co.th
2S BMS Board,1,2,https://shopee.co.th
Li-ion 18650 Cells,2,8,https://shopee.co.th
Breadboard and Jumper Wires,1,3,https://shopee.co.th
PLA Filament 100g,1,3,Already owned
"""
 
